g,type,rco,ti,at,n0,p,a,r1,theta,v
53,best,9790.01575,0.01575,0.0,1.35,2.87282473437e-05,1.4685,934.14,3.14151440164,1.36764119747e-05
53,mean,9811.3236756,0.0154285714286,0.0,1.35,2.86658866051e-05,1.46914285714,934.14,3.14151460558,1.36424779855e-05
54,best,9800.015,0.018,0.0,1.35,2.86989361484e-05,1.464,934.14,3.1415142412,1.36923460132e-05
54,mean,9808.42900305,0.01575,0.0,1.35,2.86743441437e-05,1.4685,934.14,3.14151454834,1.36507626451e-05
55,best,9790.01575,0.018,0.0,1.35,2.87282473437e-05,1.464,934.14,3.14151416111,1.37063304698e-05
55,mean,9801.15127841,0.0163039772727,0.0,1.35,2.86956326363e-05,1.46739204545,934.14,3.14151443137,1.36682392312e-05
56,best,9790.01575,0.018,0.0,1.35,2.87282473437e-05,1.464,934.14,3.14151416111,1.37063304698e-05
56,mean,9797.10382595,0.0165664556962,0.0,1.35,2.87074824975e-05,1.46686708861,934.14,3.14151437105,1.36773690453e-05
57,best,9780.0165,0.018,0.0,1.35,2.87576203846e-05,1.464,934.14,3.14151408086,1.37203444332e-05
57,mean,9792.16748734,0.0167563291139,0.0,1.35,2.87219507392e-05,1.46648734177,934.14,3.14151431134,1.36867828391e-05
58,best,9780.0165,0.0195,0.0,1.35,2.87576203846e-05,1.461,934.14,3.14151391952,1.37403862105e-05
58,mean,9789.39079687,0.017128125,0.0,1.35,2.87301023945e-05,1.46574375,934.14,3.1415142493,1.36956167248e-05
59,best,9770.01725,0.0195,0.0,1.35,2.87870534521e-05,1.461,934.14,3.14151383893,1.37544493252e-05
59,mean,9787.79369444,0.0177037037037,0.0,1.35,2.87347928086e-05,1.46459259259,934.14,3.14151417483,1.37055198804e-05
60,best,9770.01725,0.02025,0.0,1.35,2.87870534521e-05,1.4595,934.14,3.14151375793,1.37645033098e-05
60,mean,9784.8309537,0.0181203703704,0.0,1.35,2.87434928777e-05,1.46375925926,934.14,3.1415141064,1.3715222021e-05
61,best,9770.01725,0.02025,0.0,1.35,2.87870534521e-05,1.4595,934.14,3.14151375793,1.37645033098e-05
